UniProtID,all_members_community,subclass
A0A2T7F4Y2,Community1,CC-NLR
A0A2T8IHV2,Community1,CC-NLR
A0A2T7D9L2,Community1,CC-NLR
B9G218,Community1,CC-NLR
A0A6A3BGL9,Community1,CC-NLR
A0A438FT94,Community1,CC-NLR
A0A7J8YSH8,Community1,CC-NLR
M7YIQ1,Community1,CC-NLR
A0A0E0A5H3,Community1,CC-NLR
A0A077S822,Community1,CC-NLR
A0A3B6ERF4,Community1,CC-NLR
A0A453LR32,Community1,CC-NLR
A0A3B6G0T3,Community1,CC-NLR
A0A2S3GWY0,Community1,CC-NLR
A0A6M3VY82,Community1,CC-NLR
A0A6A3C8T3,Community1,CC-NLR
A0A1U8MY62,Community1,CC-NLR
A0A7N0VK29,Community1,CC-NLR
B4YSX4,Community1,CC-NLR
B4YSX2,Community1,CC-NLR
B4YSX3,Community1,CC-NLR
A0A3B6H5Q2,Community1,CC-NLR
A0A452XIA0,Community1,CC-NLR
A0A452XI70,Community1,CC-NLR
I1IGF2,Community1,CC-NLR
M8CUP2,Community1,CC-NLR
M7YKV0,Community1,CC-NLR
A0A3B6NXP5,Community1,CC-NLR
A0A3B6PSU3,Community1,CC-NLR
M8A3U1,Community1,CC-NLR
I1IGX8,Community1,CC-NLR
A0A811RHR8,Community1,CC-NLR
A0A811RHF0,Community1,CC-NLR
M7Z0K3,Community1,CC-NLR
M7ZFE0,Community1,CC-NLR
A0A067DMI2,Community1,CC-NLR
A0A2H5Q944,Community1,CC-NLR
A0A1S8ACN3,Community1,CC-NLR
A0A067DSR5,Community1,CC-NLR
A0A067JR46,Community1,CC-NLR
A0A5D2X2C1,Community1,CC-NLR
A0A6J1AIS2,Community1,CC-NLR
A0A822ZDC8,Community1,CC-NLR
A0A2H5QCR1,Community1,CC-NLR
A0A2H5QCR0,Community1,CC-NLR
A0A068TTN0,Community1,CC-NLR
A0A068TT02,Community1,CC-NLR
A0A068UP79,Community1,CC-NLR
A0A068UPE3,Community1,CC-NLR
A0A068UR74,Community1,CC-NLR
